R,,,,,,
Wavelength,S1 2000rpm,S2 2000rpm,S3 2200rpm,S4 1800rpm,S5 1800rpm,S6 2000rpm
302.969,0.164264,0.2267481,0.129637,0.3999346,0.4569069,0.2571601
304.184,0.2001081,0.2142654,0.1421487,0.4019427,0.4702738,0.2680684
305.398,0.2349197,0.1966855,0.1519583,0.3922783,0.470983,0.2738019
306.613,0.2669506,0.1752508,0.1589531,0.3718413,0.4596195,0.2738771
307.828,0.293685,0.1521461,0.1621239,0.3402226,0.4359688,0.2685029
309.042,0.3143137,0.1303312,0.161973,0.2997671,0.4018024,0.2583099
310.257,0.3276509,0.1114731,0.1583034,0.2511597,0.3568963,0.2438282
311.472,0.3335557,0.0971759,0.1508583,0.1985822,0.3038872,0.2260525
312.686,0.3327295,0.0892601,0.1407111,0.1476612,0.2462839,0.2070387
313.906,0.3250919,0.0890193,0.1290758,0.1043324,0.1899388,0.1878432
315.128,0.3114566,0.095363,0.1165026,0.0739259,0.1399128,0.1707766
316.349,0.2929646,0.1070942,0.1041116,0.0616673,0.1036036,0.156569
317.571,0.2696692,0.1221502,0.0921223,0.0686206,0.0845168,0.1459088
318.792,0.2442336,0.1410057,0.0833751,0.0944799,0.0867672,0.1407736
320.014,0.2161372,0.1596753,0.0765513,0.1334774,0.1068896,0.1399944
321.235,0.1885402,0.1770298,0.0742036,0.1812886,0.1411366,0.1443787
322.457,0.1614631,0.1924148,0.0739875,0.2306842,0.1826448,0.15108
323.678,0.1375279,0.2056219,0.0775143,0.2793802,0.2266957,0.1599823
324.9,0.1171886,0.2155649,0.0835254,0.3211798,0.2671901,0.1692702
326.121,0.1027416,0.221551,0.092459,0.3560061,0.3026717,0.1784148
327.343,0.0945938,0.2243414,0.1024391,0.3823621,0.3300815,0.185908
328.564,0.0924379,0.2240616,0.1131362,0.4005497,0.3494434,0.1901425
329.786,0.0960542,0.2201924,0.1231985,0.4095906,0.3605692,0.1914089
331.007,0.1051381,0.2132859,0.1330373,0.4098981,0.3636998,0.1894068
332.229,0.1184248,0.2035233,0.1414714,0.4018078,0.3595447,0.1848571
333.45,0.1342966,0.1922863,0.1479244,0.3867301,0.3492812,0.1771394
334.672,0.1501221,0.1791008,0.1518138,0.3635843,0.3319912,0.1673468
335.893,0.1661417,0.1655964,0.1537307,0.3337447,0.310515,0.1566317
337.115,0.1797485,0.1518457,0.1530335,0.2971908,0.2845784,0.1454963
338.336,0.1910938,0.1397971,0.1508197,0.2569948,0.2558861,0.1345524
339.558,0.1982573,0.1296967,0.1459298,0.2129593,0.2246622,0.1244745
340.779,0.2021129,0.1211196,0.1394542,0.1691682,0.1934703,0.1162427
342.001,0.2019187,0.116674,0.1312078,0.1278368,0.1637271,0.1105779
343.222,0.1990589,0.1157089,0.1230075,0.0932792,0.1378815,0.1078367
344.444,0.1924238,0.1170753,0.1138372,0.0662354,0.1155629,0.1075355
345.665,0.1832721,0.1209793,0.1045615,0.0504112,0.0990193,0.1096862
346.887,0.17255,0.1267152,0.0956875,0.0461882,0.088842,0.1148101
348.108,0.1610496,0.1344611,0.0878352,0.0543664,0.085804,0.1225851
349.33,0.1491566,0.1430637,0.0824791,0.0730054,0.0890419,0.1325957
350.551,0.1375769,0.1514526,0.0783727,0.10042,0.0975412,0.1434598
351.773,0.1268809,0.1594272,0.0752012,0.1335252,0.1097195,0.1554655
352.994,0.118167,0.1678517,0.0748721,0.171551,0.1263445,0.1676216
354.216,0.1111527,0.1755676,0.0769327,0.2103195,0.1441137,0.1804081
355.437,0.1077236,0.1817803,0.0815441,0.2486874,0.1630883,0.1920422
356.659,0.1065665,0.1873476,0.0867881,0.2851815,0.1807668,0.2025355
357.88,0.1090301,0.1924573,0.0944335,0.3183323,0.1977519,0.21146
359.101,0.114419,0.1970539,0.1030452,0.3472875,0.2125686,0.2190837
360.323,0.1232972,0.2003814,0.113063,0.3715195,0.2253215,0.2248163
361.544,0.1348249,0.2026366,0.12281,0.3905017,0.2341185,0.2283392
362.766,0.148867,0.2044496,0.1324016,0.4051563,0.2404058,0.2293901
363.987,0.1644458,0.2057005,0.1411313,0.4137126,0.2430233,0.2280863
365.209,0.181479,0.2053304,0.1490563,0.4164885,0.2429399,0.2248161
366.434,0.1983665,0.2039138,0.1546765,0.4139216,0.2392829,0.2192195
367.659,0.2149136,0.201926,0.1588402,0.406532,0.2340033,0.2125016
368.884,0.2296552,0.1993081,0.1607758,0.3943633,0.2260221,0.2039884
370.11,0.2437881,0.1957534,0.1611356,0.3756283,0.2175531,0.1953321
371.335,0.2553883,0.1909491,0.1590744,0.3531741,0.2085422,0.1857056
372.56,0.2648541,0.1868922,0.1565828,0.3253788,0.1995054,0.1767028
373.785,0.269907,0.1817101,0.1504352,0.2930877,0.1899957,0.1673179
375.01,0.2725532,0.1763209,0.1442274,0.2576439,0.1827348,0.1590882
376.235,0.2707249,0.1703249,0.1356422,0.2187008,0.1766972,0.1513297
377.46,0.2666644,0.165515,0.1281226,0.1800727,0.173865,0.1455042
378.686,0.2582692,0.1615067,0.1196292,0.1431792,0.1724398,0.141056
379.911,0.2469891,0.1569418,0.1109596,0.1093414,0.1737214,0.137822
381.136,0.2337019,0.1540111,0.1032452,0.0804837,0.1782559,0.1365947
382.361,0.2179794,0.1521595,0.0965079,0.0583962,0.1855661,0.1367109
383.586,0.2001126,0.1505364,0.0915765,0.0450572,0.1942113,0.1380426
384.811,0.1805961,0.149087,0.0876092,0.0402916,0.2042954,0.1405206
386.037,0.1595082,0.1475054,0.0839658,0.0444857,0.2145435,0.143038
